epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5357,1.52709,2.79098,1.30059,0.00416,0.92638,0.14771,0.09564,1.20594,3.16921,1.06491,0.000465748,0.000465748,0.000465748
2,40.2811,1.38807,1.67196,1.21386,0.89895,0.20143,0.8877,0.56608,1.28121,2.35815,1.11135,0.000848815,0.000848815,0.000848815
3,50.7606,1.33354,1.44187,1.19886,0.82712,0.93035,0.893,0.52977,1.38349,1.02976,1.18629,0.00113757,0.00113757,0.00113757
4,61.2499,1.30505,1.30201,1.1663,0.89377,0.94867,0.95933,0.60673,1.28867,0.80719,1.11838,0.00100459,0.00100459,0.00100459
5,71.8632,1.28006,1.15834,1.15014,0.86194,0.96733,0.94083,0.5788,1.33209,0.97128,1.13369,0.000863116,0.000863116,0.000863116
6,82.6892,1.27129,1.05324,1.16137,0.93253,0.90486,0.96546,0.61847,1.27163,0.66772,1.09691,0.000721645,0.000721645,0.000721645
7,93.3036,1.2413,0.96288,1.13394,0.92508,0.94822,0.96971,0.65023,1.21959,0.61221,1.07649,0.000580174,0.000580174,0.000580174
8,104.392,1.23449,0.88867,1.12337,0.92299,0.90064,0.95303,0.63234,1.19777,0.63526,1.06684,0.000438703,0.000438703,0.000438703
9,114.862,1.20146,0.85731,1.10062,0.9498,0.89437,0.96537,0.64136,1.17716,0.58804,1.05875,0.000297232,0.000297232,0.000297232
10,125.39,1.18275,0.80091,1.09769,0.95399,0.9355,0.97351,0.65845,1.17805,0.55356,1.05354,0.000155761,0.000155761,0.000155761
