epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,454.249,1.15171,0.53743,1.09448,0.94369,0.97943,0.9798,0.66666,1.20388,0.49234,1.10016,0.00131299,0.00131299,0.00131299
43,465.129,1.13717,0.53409,1.0923,0.95016,0.96473,0.97334,0.67783,1.15116,0.47178,1.06524,0.00131016,0.00131016,0.00131016
44,476.031,1.16556,0.5257,1.11216,0.93852,0.9629,0.97203,0.6796,1.15214,0.48957,1.06919,0.00130733,0.00130733,0.00130733
45,486.843,1.14051,0.53361,1.09406,0.93801,0.97761,0.97387,0.66778,1.15667,0.47951,1.07776,0.00130451,0.00130451,0.00130451
46,497.492,1.11491,0.52696,1.0808,0.93576,0.98348,0.98124,0.68494,1.1605,0.46923,1.07103,0.00130168,0.00130168,0.00130168
47,508.283,1.13501,0.53495,1.09321,0.93633,0.98263,0.97518,0.67195,1.1764,0.49864,1.07392,0.00129885,0.00129885,0.00129885
48,519.194,1.15775,0.51846,1.09619,0.95446,0.94207,0.97875,0.67369,1.16221,0.49256,1.07574,0.00129602,0.00129602,0.00129602
49,529.983,1.12789,0.51355,1.07542,0.95795,0.95272,0.97932,0.68507,1.16317,0.45971,1.07034,0.00129319,0.00129319,0.00129319
50,540.809,1.11872,0.5247,1.07519,0.94864,0.94058,0.97697,0.66461,1.22075,0.48125,1.09852,0.00129036,0.00129036,0.00129036
51,551.643,1.12532,0.51588,1.08095,0.93926,0.96663,0.9809,0.68267,1.18423,0.47357,1.08954,0.00128753,0.00128753,0.00128753
52,562.45,1.14619,0.51971,1.0923,0.94854,0.96139,0.9784,0.68343,1.15916,0.45815,1.06851,0.0012847,0.0012847,0.0012847
53,573.277,1.11398,0.50093,1.0771,0.92411,0.97722,0.97458,0.67591,1.16672,0.47927,1.06737,0.00128187,0.00128187,0.00128187
54,584.186,1.11959,0.50131,1.08583,0.93681,0.98235,0.97112,0.65865,1.17143,0.4794,1.07581,0.00127904,0.00127904,0.00127904
55,595.004,1.12028,0.50755,1.08224,0.94705,0.97263,0.98116,0.68558,1.17179,0.45353,1.06796,0.00127621,0.00127621,0.00127621
56,605.805,1.09821,0.49612,1.07277,0.95005,0.95898,0.97633,0.67799,1.19509,0.45942,1.0908,0.00127338,0.00127338,0.00127338
57,616.663,1.12691,0.50843,1.07971,0.94671,0.97632,0.98232,0.69076,1.15382,0.46527,1.06875,0.00127055,0.00127055,0.00127055
58,627.445,1.11232,0.50452,1.08555,0.95629,0.97046,0.97266,0.67964,1.17601,0.45571,1.07871,0.00126772,0.00126772,0.00126772
59,638.327,1.10794,0.50018,1.07873,0.94251,0.96404,0.9736,0.66687,1.19884,0.48011,1.08571,0.00126489,0.00126489,0.00126489
60,649.287,1.10119,0.5023,1.08592,0.94505,0.98302,0.97654,0.65669,1.20973,0.46994,1.0943,0.00126206,0.00126206,0.00126206
61,660.213,1.09969,0.512,1.08123,0.87137,0.91135,0.91056,0.61838,1.17152,0.56235,1.07333,0.00125923,0.00125923,0.00125923
62,671.041,1.09934,0.50438,1.08082,0.94049,0.97275,0.9761,0.6758,1.18226,0.47604,1.08584,0.00125641,0.00125641,0.00125641
63,681.96,1.08342,0.49994,1.07382,0.93603,0.97704,0.97699,0.68251,1.16221,0.45498,1.07445,0.00125358,0.00125358,0.00125358
64,692.995,1.08858,0.48214,1.06655,0.93777,0.95754,0.97195,0.67056,1.16617,0.46913,1.07302,0.00125075,0.00125075,0.00125075
65,704.011,1.0988,0.48316,1.07686,0.96269,0.96348,0.98045,0.6744,1.20131,0.45145,1.08778,0.00124792,0.00124792,0.00124792
66,714.893,1.06985,0.47693,1.0558,0.94835,0.97177,0.9778,0.67524,1.16993,0.48844,1.07346,0.00124509,0.00124509,0.00124509
67,725.706,1.07985,0.49124,1.05861,0.94738,0.98394,0.97568,0.69037,1.14916,0.45132,1.06691,0.00124226,0.00124226,0.00124226
68,736.631,1.08752,0.4937,1.0631,0.97394,0.94429,0.97918,0.6804,1.17627,0.45208,1.08543,0.00123943,0.00123943,0.00123943
69,747.496,1.08312,0.48233,1.06571,0.95894,0.94349,0.97014,0.66407,1.18856,0.46645,1.08618,0.0012366,0.0012366,0.0012366
70,758.456,1.08994,0.4869,1.0791,0.94658,0.96626,0.97829,0.67888,1.18967,0.44882,1.08411,0.00123377,0.00123377,0.00123377
71,769.242,1.10107,0.47845,1.07202,0.94156,0.95402,0.96039,0.64384,1.23032,0.49248,1.09971,0.00123094,0.00123094,0.00123094
72,780.261,1.10797,0.48397,1.07375,0.9528,0.97611,0.97847,0.68691,1.16402,0.45686,1.07404,0.00122811,0.00122811,0.00122811
73,791.347,1.12355,0.4909,1.08812,0.96513,0.94206,0.97361,0.67589,1.16763,0.47308,1.07348,0.00122528,0.00122528,0.00122528
74,802.214,1.11642,0.48817,1.0776,0.94112,0.97587,0.97416,0.68379,1.16547,0.45538,1.06588,0.00122245,0.00122245,0.00122245
75,813.224,1.06722,0.47312,1.05671,0.96032,0.95352,0.97556,0.6679,1.1839,0.47578,1.08308,0.00121962,0.00121962,0.00121962
76,824.078,1.08161,0.47242,1.06037,0.96003,0.94733,0.9754,0.67443,1.16494,0.46517,1.07328,0.00121679,0.00121679,0.00121679
77,834.669,1.07517,0.47949,1.0635,0.95913,0.96316,0.9731,0.68055,1.16363,0.44615,1.07383,0.00121396,0.00121396,0.00121396
78,845.457,1.06199,0.46521,1.05783,0.9566,0.96968,0.97468,0.66893,1.18234,0.44897,1.08194,0.00121113,0.00121113,0.00121113
79,856.244,1.07816,0.47045,1.06087,0.96465,0.95477,0.9694,0.68243,1.17872,0.44633,1.08243,0.00120831,0.00120831,0.00120831
80,867.233,1.08029,0.48006,1.06689,0.93578,0.96791,0.9763,0.67105,1.17269,0.45338,1.07901,0.00120548,0.00120548,0.00120548
81,878.295,1.06152,0.46573,1.05424,0.93966,0.97431,0.97248,0.66237,1.19067,0.44964,1.09072,0.00120265,0.00120265,0.00120265
82,889.382,1.05262,0.46956,1.04991,0.9565,0.98517,0.97274,0.6815,1.15947,0.4374,1.06689,0.00119982,0.00119982,0.00119982
83,900.324,1.04817,0.45617,1.05795,0.95098,0.95657,0.97572,0.68421,1.19748,0.44998,1.08328,0.00119699,0.00119699,0.00119699
84,911.189,1.06945,0.463,1.05983,0.96125,0.95565,0.97545,0.68527,1.16844,0.45276,1.0746,0.00119416,0.00119416,0.00119416
85,922.005,1.04634,0.46741,1.05166,0.94011,0.96571,0.97103,0.67728,1.15846,0.44634,1.06843,0.00119133,0.00119133,0.00119133
86,932.744,1.07373,0.46611,1.0683,0.94905,0.96523,0.97594,0.69164,1.14178,0.43199,1.06447,0.0011885,0.0011885,0.0011885
87,943.547,1.07223,0.47227,1.05233,0.95418,0.97055,0.97823,0.67656,1.16418,0.44124,1.07379,0.00118567,0.00118567,0.00118567
88,954.258,1.07496,0.46179,1.07001,0.94443,0.97414,0.97452,0.68297,1.18525,0.43928,1.07767,0.00118284,0.00118284,0.00118284
89,964.989,1.05522,0.4633,1.05008,0.9532,0.97185,0.97301,0.66535,1.19271,0.45304,1.08868,0.00118001,0.00118001,0.00118001
90,975.863,1.02154,0.44915,1.0388,0.94927,0.96374,0.95934,0.67067,1.17788,0.46502,1.07638,0.00117718,0.00117718,0.00117718
91,986.664,1.0495,0.46228,1.04597,0.96397,0.9506,0.96499,0.65842,1.19317,0.46561,1.08683,0.00117435,0.00117435,0.00117435
92,997.4,1.04983,0.45376,1.04672,0.95521,0.97418,0.97775,0.6896,1.15941,0.4335,1.07455,0.00117152,0.00117152,0.00117152
93,1008.09,1.03823,0.44215,1.04825,0.95192,0.96714,0.97194,0.69725,1.15504,0.43179,1.07037,0.00116869,0.00116869,0.00116869
94,1018.82,1.04789,0.44488,1.05731,0.96091,0.94292,0.96899,0.67088,1.19012,0.46202,1.08623,0.00116586,0.00116586,0.00116586
95,1029.38,1.03817,0.44784,1.05148,0.94369,0.96537,0.96506,0.67103,1.18681,0.44987,1.08294,0.00116303,0.00116303,0.00116303
96,1040.18,1.02924,0.45441,1.04893,0.95178,0.96572,0.96939,0.66423,1.1854,0.46052,1.08493,0.00116021,0.00116021,0.00116021
97,1051.04,1.02954,0.44828,1.03873,0.9521,0.94657,0.97236,0.68183,1.18089,0.44957,1.08261,0.00115738,0.00115738,0.00115738
98,1061.72,1.02207,0.45192,1.04544,0.94993,0.97411,0.97623,0.67504,1.17023,0.43493,1.07397,0.00115455,0.00115455,0.00115455
99,1072.48,1.03058,0.44802,1.04128,0.9607,0.94921,0.97435,0.668,1.18454,0.45449,1.0832,0.00115172,0.00115172,0.00115172
100,1083.37,1.01993,0.45214,1.03745,0.95962,0.96263,0.97383,0.66561,1.22022,0.45465,1.10353,0.00114889,0.00114889,0.00114889
101,1094.03,1.04769,0.45443,1.05145,0.96075,0.9655,0.97542,0.68535,1.16757,0.44407,1.07902,0.00114606,0.00114606,0.00114606
102,1104.83,1.05557,0.45344,1.05653,0.91347,0.86721,0.92612,0.63001,1.19855,0.54235,1.09325,0.00114323,0.00114323,0.00114323
103,1115.75,1.02829,0.44318,1.03785,0.96594,0.95317,0.97347,0.67228,1.182,0.43675,1.08395,0.0011404,0.0011404,0.0011404
104,1126.6,1.00566,0.43474,1.03876,0.95758,0.97478,0.97354,0.68336,1.17847,0.42102,1.0793,0.00113757,0.00113757,0.00113757
105,1137.37,1.03074,0.43989,1.04735,0.94695,0.9784,0.97023,0.68584,1.17615,0.4272,1.07351,0.00113474,0.00113474,0.00113474
106,1148.04,1.00668,0.43837,1.03827,0.95683,0.96726,0.9762,0.68442,1.18084,0.43632,1.07829,0.00113191,0.00113191,0.00113191
107,1158.88,1.02481,0.43715,1.04139,0.96468,0.96427,0.97821,0.67081,1.20704,0.46039,1.09938,0.00112908,0.00112908,0.00112908
108,1169.74,1.00977,0.44211,1.03019,0.9502,0.97403,0.9773,0.68997,1.19092,0.43931,1.08643,0.00112625,0.00112625,0.00112625
109,1180.61,1.00585,0.44791,1.02935,0.96181,0.95643,0.97146,0.68022,1.16475,0.45127,1.07204,0.00112342,0.00112342,0.00112342
110,1191.56,1.01289,0.43853,1.04312,0.96094,0.96295,0.97829,0.67942,1.17678,0.44682,1.0806,0.00112059,0.00112059,0.00112059
111,1202.34,1.01393,0.44609,1.04014,0.94812,0.96549,0.97516,0.67519,1.17836,0.44648,1.08131,0.00111776,0.00111776,0.00111776
112,1213.07,1.00231,0.43505,1.03257,0.95946,0.96935,0.97788,0.6781,1.17019,0.42422,1.07162,0.00111493,0.00111493,0.00111493
113,1223.74,1.01735,0.4322,1.03494,0.93742,0.98514,0.9785,0.67425,1.18341,0.43845,1.09129,0.0011121,0.0011121,0.0011121
114,1234.85,1.01887,0.43971,1.04865,0.95674,0.96473,0.97976,0.68546,1.1669,0.43889,1.07944,0.00110928,0.00110928,0.00110928
115,1791.29,0.98992,0.43258,1.03499,0.9566,0.96094,0.9754,0.66018,1.18861,0.44305,1.09052,0.00110645,0.00110645,0.00110645
116,1802.02,0.99653,0.44058,1.0222,0.96086,0.96806,0.978,0.67723,1.18128,0.42897,1.08232,0.00110362,0.00110362,0.00110362
117,1812.52,1.00663,0.42821,1.03847,0.95905,0.96861,0.97353,0.68061,1.14865,0.443,1.06624,0.00110079,0.00110079,0.00110079
118,1822.96,1.00273,0.42631,1.03202,0.95042,0.96365,0.97627,0.67909,1.17104,0.43885,1.08004,0.00109796,0.00109796,0.00109796
119,1833.56,0.98473,0.42686,1.03106,0.95459,0.96006,0.97422,0.6778,1.20562,0.44237,1.08864,0.00109513,0.00109513,0.00109513
120,1844.09,0.98665,0.43178,1.03195,0.93393,0.97649,0.97218,0.67858,1.17523,0.4531,1.07682,0.0010923,0.0010923,0.0010923
121,1854.65,0.98193,0.41567,1.0303,0.96334,0.94369,0.9785,0.67509,1.17179,0.44202,1.07792,0.00108947,0.00108947,0.00108947
122,1865.24,1.0127,0.4345,1.03426,0.94725,0.97133,0.97027,0.67269,1.17344,0.44323,1.07453,0.00108664,0.00108664,0.00108664
123,1875.73,1.00596,0.43517,1.04699,0.94796,0.97034,0.96865,0.66305,1.18886,0.45365,1.08393,0.00108381,0.00108381,0.00108381
124,1886.26,0.98251,0.4284,1.02471,0.95905,0.96277,0.96794,0.66649,1.18959,0.44866,1.10035,0.00108098,0.00108098,0.00108098
125,1896.98,0.98932,0.43111,1.02244,0.95715,0.96656,0.96705,0.67229,1.15035,0.44445,1.0699,0.00107815,0.00107815,0.00107815
126,1907.79,0.97159,0.42221,1.01987,0.95256,0.96656,0.95994,0.65981,1.17916,0.45116,1.08198,0.00107532,0.00107532,0.00107532
127,1918.6,0.98184,0.41944,1.02606,0.96196,0.95247,0.96234,0.6768,1.16325,0.443,1.0761,0.00107249,0.00107249,0.00107249
128,1929.56,0.98061,0.42761,1.02303,0.94738,0.9769,0.95969,0.66987,1.17079,0.44907,1.07969,0.00106966,0.00106966,0.00106966
129,1940.33,0.99102,0.42016,1.02978,0.9638,0.95747,0.97295,0.66377,1.21393,0.45557,1.09093,0.00106683,0.00106683,0.00106683
130,1951.07,0.96399,0.42279,1.01903,0.95411,0.96323,0.9671,0.67369,1.15932,0.4501,1.07617,0.001064,0.001064,0.001064
131,1961.54,0.96248,0.41743,1.01676,0.94454,0.97239,0.96747,0.67711,1.16702,0.44447,1.08283,0.00106118,0.00106118,0.00106118
132,1972.13,0.96367,0.42521,1.01611,0.96011,0.95653,0.9685,0.68228,1.16074,0.44413,1.07481,0.00105835,0.00105835,0.00105835
133,1982.63,0.96051,0.4236,1.00987,0.95405,0.97757,0.96967,0.67193,1.16012,0.42399,1.07611,0.00105552,0.00105552,0.00105552
134,1993.03,1.001,0.43366,1.02989,0.96916,0.96045,0.97631,0.67812,1.16315,0.42929,1.07705,0.00105269,0.00105269,0.00105269
135,2003.47,0.96163,0.41435,1.0226,0.95697,0.9723,0.9768,0.68294,1.16965,0.42957,1.07743,0.00104986,0.00104986,0.00104986
136,2014.18,0.96875,0.41222,1.02756,0.95405,0.96816,0.97091,0.67194,1.21906,0.44521,1.09972,0.00104703,0.00104703,0.00104703
137,2024.84,0.94826,0.41628,1.0188,0.92573,0.94794,0.96373,0.656,1.2459,0.48468,1.11911,0.0010442,0.0010442,0.0010442
138,2035.41,0.95899,0.41316,1.01505,0.97278,0.96003,0.97525,0.66671,1.19886,0.43818,1.10654,0.00104137,0.00104137,0.00104137
139,2046.13,0.95626,0.4114,1.01697,0.9626,0.95835,0.97135,0.67922,1.16972,0.43472,1.0836,0.00103854,0.00103854,0.00103854
140,2056.81,0.93044,0.40947,1.00207,0.9562,0.96485,0.97289,0.66298,1.22714,0.44837,1.10743,0.00103571,0.00103571,0.00103571
141,2067.1,0.95581,0.41474,1.01629,0.95733,0.96546,0.97961,0.68555,1.16415,0.42737,1.07328,0.00103288,0.00103288,0.00103288
142,2077.53,0.96611,0.40667,1.01323,0.96697,0.9569,0.97606,0.67986,1.17562,0.43393,1.07835,0.00103005,0.00103005,0.00103005
143,2088.03,0.96124,0.40757,1.02321,0.95721,0.96567,0.97271,0.67013,1.18685,0.44394,1.09297,0.00102722,0.00102722,0.00102722
144,2098.8,0.95738,0.41058,1.0178,0.95934,0.96879,0.9722,0.66909,1.16951,0.42203,1.08265,0.00102439,0.00102439,0.00102439
145,2109.32,0.94265,0.40903,1.01466,0.96534,0.9655,0.97224,0.67709,1.16846,0.42689,1.07483,0.00102156,0.00102156,0.00102156
146,2119.92,0.92231,0.39792,1.00481,0.95231,0.97564,0.97195,0.66583,1.20905,0.43713,1.09593,0.00101873,0.00101873,0.00101873
